event_id,event_type,total_attendees,load_factor,venue_capacity,risk_level
EVT01775,College Fest,2589,0.84,3083,Medium
EVT04712,Trade Fair,20776,1.75,11872,Very Critical
EVT01402,Wedding,309,0.95,326,Medium
EVT04830,Product Launch,1903,1.59,1197,Critical
EVT02313,Conference,349,0.93,376,Medium
EVT01826,Festival,71041,0.91,78068,Medium
EVT03568,Marathon,36934,1.05,35176,High
EVT00259,Wedding,282,0.37,763,Low
EVT01587,Wedding,169,0.89,191,Medium
EVT04274,Religious Gathering,230820,1.67,138216,Very Critical
EVT00967,Sports Match,3594,0.59,6093,Low
EVT03521,Cultural Event,11669,1.01,11554,High
EVT02316,Marathon,23384,0.91,25697,Medium
EVT01087,Sports Match,9680,0.47,20597,Low
EVT02997,Festival,146094,1.21,120739,High
EVT00404,Sports Match,5776,0.52,11109,Low
EVT04861,Conference,3163,1.44,2197,Critical
EVT00033,Product Launch,730,0.41,1782,Low
EVT03318,Wedding,680,1.01,674,High
EVT01918,Corporate Meetup,517,0.95,545,Medium
EVT03399,Wedding,599,1.23,487,High
EVT00769,Sports Match,36923,0.63,58608,Low
EVT01299,Cultural Event,4171,0.97,4301,Medium
EVT02008,Concert,7030,0.94,7479,Medium
EVT04629,Concert,84500,1.59,53145,Critical
EVT00050,Sports Match,7110,0.67,10613,Low
EVT01075,Movie event,4778,0.49,9753,Low
EVT01348,Movie event,9384,0.96,9776,Medium
EVT01332,Corporate Meetup,639,0.82,780,Medium
EVT03167,Political Rally,73025,1.22,59857,High
EVT02453,Exhibition,3847,0.94,4093,Medium
EVT03462,Religious Gathering,138261,1.28,108017,High
EVT02286,Movie event,55151,0.95,58054,Medium
EVT04395,Marathon,29121,1.67,17438,Very Critical
EVT01334,Festival,19523,0.81,24103,Medium
EVT04286,Birthday Party,1333,1.75,762,Very Critical
EVT02779,Movie event,29451,1.08,27270,High
EVT00336,Corporate Meetup,96,0.79,122,Low
EVT00497,Product Launch,1321,0.56,2359,Low
EVT01677,Marathon,88154,0.93,94790,Medium
EVT03397,Movie event,18604,1.08,17226,High
EVT04685,Conference,1615,1.36,1188,Critical
EVT01352,Product Launch,594,0.88,676,Medium
EVT03256,Conference,444,1.05,423,High
EVT03972,Festival,168302,1.42,118523,Critical
EVT00629,Corporate Meetup,332,0.47,707,Low
EVT01649,Product Launch,980,0.91,1077,Medium
EVT02716,Festival,116141,1.07,108543,High
EVT04288,Conference,3421,1.31,2612,Critical
EVT02739,Cultural Event,17950,1.2,14959,High
EVT02137,Marathon,92869,0.93,99860,Medium
EVT01255,Political Rally,34717,0.96,36164,Medium
EVT01746,Political Rally,75998,0.98,77549,Medium
EVT01281,Cultural Event,6237,0.86,7253,Medium
EVT04110,Wedding,429,1.59,270,Critical
EVT01307,Political Rally,119754,0.97,123458,Medium
EVT00652,Product Launch,1360,0.71,1916,Low
EVT00306,Exhibition,7889,0.78,10115,Low
EVT03939,Birthday Party,1080,1.76,614,Very Critical
EVT04250,Marathon,23602,1.51,15631,Critical
EVT01936,Marathon,112618,0.88,127976,Medium
EVT04405,Religious Gathering,54603,1.62,33706,Very Critical
EVT02147,Exhibition,7931,0.86,9223,Medium
EVT00990,Concert,5756,0.73,7886,Low
EVT03109,Conference,3121,1.25,2497,High
EVT03894,Birthday Party,933,1.47,635,Critical
EVT00462,Movie event,26182,0.44,59506,Low
EVT01300,Marathon,32713,0.86,38039,Medium
EVT02120,Wedding,376,0.88,428,Medium
EVT03833,Marathon,164895,1.44,114511,Critical
EVT04107,Concert,64692,1.42,45558,Critical
EVT03723,Festival,30538,1.14,26788,High
EVT00589,Exhibition,3026,0.63,4804,Low
EVT04311,Religious Gathering,209635,1.55,135249,Critical
EVT04928,Festival,108118,1.7,63599,Very Critical
EVT02217,Exhibition,11281,0.85,13272,Medium
EVT01236,Marathon,61972,0.49,126474,Low
EVT00457,Festival,35291,0.38,92873,Low
EVT01996,Sports Match,22245,0.96,23172,Medium
EVT01242,Religious Gathering,95111,0.66,144108,Low
EVT00699,College Fest,6488,0.57,11383,Low
EVT02842,Wedding,245,1.24,198,High
EVT01109,Cultural Event,1490,0.33,4516,Low
EVT03029,Religious Gathering,72273,1.26,57360,High
EVT02578,Movie event,27361,1.1,24874,High
EVT04908,Marathon,27335,1.51,18103,Critical
EVT01066,Exhibition,8643,0.77,11225,Low
EVT04196,College Fest,18622,1.64,11355,Very Critical
EVT02608,Sports Match,16617,1.1,15107,High
EVT04442,Conference,616,1.58,390,Critical
EVT00859,Exhibition,3545,0.46,7707,Low
EVT01800,Exhibition,4562,0.98,4656,Medium
EVT00843,Corporate Meetup,149,0.43,347,Low
EVT00369,Wedding,164,0.35,471,Low
EVT00331,Corporate Meetup,588,0.78,754,Low
EVT04581,Marathon,176455,1.63,108255,Very Critical
EVT01951,Corporate Meetup,582,0.86,677,Medium
EVT03409,Product Launch,1884,1.19,1584,High
EVT01754,College Fest,10659,0.84,12690,Medium
EVT04839,Corporate Meetup,314,1.41,223,Critical
EVT03453,Concert,38435,1.09,35262,High
EVT03966,Concert,31193,1.62,19255,Very Critical
EVT01747,Concert,40954,0.99,41368,Medium
EVT02763,Birthday Party,503,1.23,409,High
EVT00788,Product Launch,1384,0.54,2563,Low
EVT04728,Marathon,45643,1.49,30633,Critical
EVT04645,Trade Fair,21468,1.74,12338,Very Critical
EVT02140,Exhibition,12990,0.87,14932,Medium
EVT01342,Birthday Party,575,0.86,669,Medium
EVT02627,Trade Fair,13265,1.09,12170,High
EVT00499,Exhibition,2011,0.33,6096,Low
EVT04219,Cultural Event,8834,1.45,6093,Critical
EVT00899,Religious Gathering,55355,0.69,80225,Low
EVT03428,Cultural Event,11558,1.27,9101,High
EVT03061,Product Launch,1355,1.12,1210,High
EVT00546,Marathon,32663,0.57,57305,Low
EVT00550,Movie event,10976,0.32,34303,Low
EVT04504,Political Rally,23048,1.33,17330,Critical
EVT04538,Sports Match,31681,1.52,20843,Critical
EVT03321,Trade Fair,13481,1.04,12963,High
EVT03204,Concert,46318,1.04,44537,High
EVT04617,Exhibition,6872,1.8,3818,Very Critical
EVT03918,Wedding,433,1.35,321,Critical
EVT02610,Festival,58719,1.02,57568,High
EVT00095,Sports Match,2973,0.53,5610,Low
EVT00398,Religious Gathering,34510,0.52,66367,Low
EVT04244,Sports Match,74997,1.76,42612,Very Critical
EVT04389,Political Rally,164700,1.63,101043,Very Critical
EVT02291,Corporate Meetup,585,0.83,706,Medium
EVT03228,Corporate Meetup,923,1.25,739,High
EVT03298,Festival,157856,1.24,127304,High
EVT04994,Conference,2338,1.58,1480,Critical
EVT00219,Birthday Party,207,0.31,669,Low
EVT02778,Concert,47192,1.25,37754,High
EVT00021,College Fest,5581,0.43,12980,Low
EVT04798,Exhibition,7410,1.34,5530,Critical
EVT04402,Conference,4060,1.73,2347,Very Critical
EVT03236,Festival,46037,1.06,43432,High
EVT00017,Sports Match,5041,0.63,8003,Low
EVT03120,Product Launch,871,1.04,838,High
EVT04239,Marathon,32769,1.78,18410,Very Critical
EVT00883,Corporate Meetup,85,0.39,219,Low
EVT01191,College Fest,5030,0.66,7622,Low
EVT04222,Trade Fair,9052,1.36,6656,Critical
EVT04774,Wedding,1190,1.75,680,Very Critical
EVT00121,Festival,82549,0.7,117928,Low
EVT01296,Movie event,55229,0.93,59387,Medium
EVT02282,Birthday Party,557,0.92,606,Medium
EVT04477,Conference,3494,1.66,2105,Very Critical
EVT02402,Cultural Event,7405,0.98,7557,Medium
EVT02142,Corporate Meetup,124,0.84,148,Medium
EVT00605,Product Launch,1438,0.51,2820,Low
EVT02250,Concert,44262,0.9,49181,Medium
EVT02599,Religious Gathering,158388,1.06,149423,High
EVT03481,Cultural Event,3196,1.07,2987,High
EVT01369,Marathon,27459,0.95,28905,Medium
EVT03769,Conference,820,1.37,599,Critical
EVT02410,Conference,1512,0.95,1592,Medium
EVT00194,Wedding,123,0.54,229,Low
EVT04870,Conference,1798,1.48,1215,Critical
EVT01582,Festival,121338,0.9,134821,Medium
EVT04563,Wedding,1238,1.55,799,Critical
EVT04292,Movie event,68662,1.51,45472,Critical
EVT00866,Wedding,244,0.39,628,Low
EVT00612,Political Rally,10229,0.44,23248,Low
EVT04117,Sports Match,9903,1.41,7024,Critical
EVT03487,Exhibition,7147,1.28,5584,High
EVT04410,Conference,2141,1.32,1622,Critical
EVT04004,Political Rally,49197,1.46,33697,Critical
EVT01145,Product Launch,229,0.5,458,Low
EVT01355,Cultural Event,10860,0.97,11196,Medium
EVT04238,Political Rally,214986,1.49,144286,Critical
EVT00738,Marathon,43298,0.37,117022,Low
EVT03884,Cultural Event,16476,1.58,10428,Critical
EVT04554,Concert,75594,1.66,45539,Very Critical
EVT02076,Wedding,157,0.9,175,Medium
EVT00803,Movie event,2981,0.35,8519,Low
EVT02145,Conference,779,0.84,928,Medium
EVT00308,Festival,26868,0.74,36309,Low
EVT04841,Religious Gathering,213467,1.77,120603,Very Critical
EVT00278,Product Launch,1708,0.71,2407,Low
EVT00385,Marathon,53247,0.36,147910,Low
EVT00885,Exhibition,5594,0.49,11417,Low
EVT00718,Wedding,70,0.68,103,Low
EVT01762,Corporate Meetup,525,0.95,553,Medium
EVT04205,Festival,186716,1.46,127888,Critical
EVT00944,Sports Match,37023,0.7,52891,Low
EVT01081,Conference,832,0.45,1849,Low
EVT00806,Birthday Party,308,0.55,561,Low
EVT00920,Sports Match,17584,0.56,31401,Low
EVT04670,Sports Match,41385,1.6,25866,Critical
EVT04609,Cultural Event,12651,1.54,8215,Critical
EVT01037,Sports Match,25466,0.59,43163,Low
EVT01940,Movie event,7192,1,7192,Medium
EVT00890,Movie event,3039,0.54,5628,Low
EVT04932,Cultural Event,11644,1.43,8143,Critical
EVT00790,Cultural Event,5647,0.62,9109,Low
EVT02485,Religious Gathering,123190,1,123190,Medium
EVT04193,Wedding,464,1.46,318,Critical
EVT03464,Concert,14655,1.04,14092,High
EVT00176,Corporate Meetup,364,0.73,499,Low
EVT00026,Political Rally,49730,0.71,70043,Low
EVT00360,Trade Fair,6068,0.45,13486,Low
EVT01724,Corporate Meetup,100,0.88,114,Medium
EVT04661,Corporate Meetup,1079,1.51,715,Critical
EVT02339,Festival,93430,0.97,96320,Medium
EVT00357,Movie event,7744,0.64,12100,Low
EVT02374,Concert,38690,0.93,41603,Medium
EVT03374,Cultural Event,4482,1.11,4038,High
EVT02489,Cultural Event,5509,0.95,5799,Medium
EVT01573,Product Launch,598,0.83,721,Medium
EVT01008,Concert,8086,0.3,26955,Low
EVT01395,Cultural Event,6529,0.88,7420,Medium
EVT02162,College Fest,10517,0.91,11558,Medium
EVT04025,College Fest,10557,1.52,6946,Critical
EVT02729,Corporate Meetup,612,1.08,567,High
EVT02998,Movie event,61215,1.12,54657,High
EVT03602,Product Launch,2274,1.21,1880,High
EVT00970,Marathon,78674,0.65,121037,Low
EVT02973,Sports Match,33302,1.22,27297,High
EVT04949,Political Rally,17112,1.36,12583,Critical
EVT03882,Cultural Event,16953,1.55,10938,Critical
EVT00667,Wedding,433,0.67,647,Low
EVT04649,Sports Match,7981,1.52,5251,Critical
EVT03410,Trade Fair,4917,1.06,4639,High
EVT01678,College Fest,7819,0.96,8145,Medium
EVT03449,Birthday Party,552,1.04,531,High
EVT01752,Exhibition,8897,0.99,8987,Medium
EVT01888,Trade Fair,3233,0.9,3593,Medium
EVT01427,Trade Fair,2263,0.82,2760,Medium
EVT02921,Corporate Meetup,137,1.3,106,High
EVT01833,Marathon,97201,0.82,118538,Medium
EVT02219,Sports Match,30869,0.94,32840,Medium
EVT03557,Exhibition,14990,1.07,14010,High
EVT04674,Cultural Event,12506,1.55,8069,Critical
EVT00167,Trade Fair,2157,0.66,3269,Low
EVT01532,Exhibition,2627,0.91,2887,Medium
EVT00528,Birthday Party,55,0.48,116,Low
EVT01519,Festival,27535,0.92,29930,Medium
EVT02450,Exhibition,9204,0.91,10115,Medium
EVT00989,Religious Gathering,16495,0.41,40234,Low
EVT03170,Product Launch,3227,1.24,2603,High
EVT00124,Cultural Event,2257,0.4,5644,Low
EVT01545,Exhibition,10748,0.94,11435,Medium
EVT00875,Conference,827,0.46,1798,Low
EVT03934,Movie event,80167,1.52,52742,Critical
EVT01491,Product Launch,2617,0.93,2814,Medium
EVT01702,Wedding,209,0.82,256,Medium
EVT02768,Product Launch,2451,1.25,1961,High
EVT02788,Conference,538,1.25,431,High
EVT03178,Wedding,405,1.02,398,High
EVT00947,Exhibition,10008,0.8,12511,Low
EVT01976,Movie event,30966,0.93,33297,Medium
EVT00264,Cultural Event,3118,0.34,9172,Low
EVT00708,Sports Match,4063,0.51,7968,Low
EVT04592,Exhibition,25654,1.77,14494,Very Critical
EVT01804,College Fest,1913,0.93,2057,Medium
EVT03876,Cultural Event,17554,1.66,10575,Very Critical
EVT04143,Conference,4252,1.62,2625,Very Critical
EVT00739,Product Launch,716,0.68,1053,Low
EVT03281,College Fest,11900,1.01,11783,High
EVT00391,Product Launch,1309,0.64,2046,Low
EVT00560,Movie event,15277,0.52,29380,Low
EVT02760,Wedding,208,1.04,200,High
EVT04831,Marathon,53816,1.42,37899,Critical
EVT04779,Product Launch,4645,1.68,2765,Very Critical
EVT02975,Movie event,16821,1.26,13350,High
EVT02131,College Fest,10424,0.99,10530,Medium
EVT04021,Conference,1881,1.49,1263,Critical
EVT02378,Marathon,65686,0.84,78198,Medium
EVT03435,Movie event,31725,1.02,31103,High
EVT01790,Religious Gathering,54840,0.96,57125,Medium
EVT00290,Corporate Meetup,403,0.65,621,Low
EVT03143,Marathon,82215,1.1,74741,High
EVT04678,Trade Fair,12872,1.76,7314,Very Critical
EVT01328,Corporate Meetup,292,0.95,308,Medium
EVT03984,Birthday Party,232,1.76,132,Very Critical
EVT01641,Movie event,24901,0.95,26212,Medium
EVT04723,College Fest,17980,1.7,10577,Very Critical
EVT01821,Religious Gathering,71285,0.87,81937,Medium
EVT04610,Concert,71634,1.65,43415,Very Critical
EVT00853,Religious Gathering,31908,0.41,77826,Low
EVT01850,Festival,100781,0.93,108367,Medium
EVT02208,Conference,611,0.85,719,Medium
EVT03786,Political Rally,99146,1.52,65228,Critical
EVT01044,Product Launch,798,0.39,2047,Low
EVT01662,Political Rally,96244,0.92,104614,Medium
EVT04190,Corporate Meetup,344,1.76,196,Very Critical
EVT02954,Cultural Event,16110,1.26,12786,High
EVT01408,Birthday Party,238,0.98,243,Medium
EVT00777,Birthday Party,511,0.79,648,Low
EVT01503,Movie event,27494,0.99,27772,Medium
EVT01333,Product Launch,1679,0.89,1887,Medium
EVT01947,Festival,11543,0.9,12826,Medium
EVT03316,Marathon,162597,1.14,142629,High
EVT03019,Religious Gathering,33245,1.05,31662,High
EVT02456,Sports Match,7239,0.91,7955,Medium
EVT00774,Cultural Event,6912,0.54,12801,Low
EVT02805,Political Rally,36931,1.09,33882,High
EVT02714,Wedding,686,1.19,577,High
EVT01249,Cultural Event,3114,0.42,7416,Low
EVT02329,Birthday Party,704,0.91,774,Medium
EVT03381,Exhibition,16745,1.12,14951,High
EVT03874,College Fest,16040,1.6,10025,Critical
EVT03006,College Fest,16856,1.2,14047,High
EVT04120,Trade Fair,16515,1.62,10195,Very Critical
EVT02512,Birthday Party,320,1.26,254,High
EVT01962,Political Rally,99875,1,99875,Medium
EVT04673,Festival,190974,1.49,128171,Critical
EVT03560,Product Launch,2293,1.13,2030,High
EVT03172,Conference,332,1.06,314,High
EVT04980,Trade Fair,12081,1.35,8949,Critical
EVT00692,Trade Fair,11257,0.79,14250,Low
EVT03736,Movie event,74172,1.25,59338,High
EVT03505,Wedding,227,1.07,213,High
EVT01735,Birthday Party,754,0.97,778,Medium
EVT00987,Movie event,4748,0.55,8633,Low
EVT02033,Political Rally,69199,0.94,73617,Medium
EVT00309,Trade Fair,2034,0.56,3633,Low
EVT02543,Trade Fair,14903,1.11,13427,High
EVT00289,Religious Gathering,27699,0.55,50362,Low
EVT03044,College Fest,4953,1.18,4198,High
EVT02969,Sports Match,52396,1.11,47204,High
EVT00228,Festival,66446,0.65,102225,Low
EVT01493,Conference,2629,0.9,2922,Medium
EVT02932,Sports Match,31241,1.05,29754,High
EVT00961,Religious Gathering,40258,0.55,73198,Low
EVT00163,Marathon,95169,0.75,126893,Low
EVT00145,Product Launch,1831,0.72,2544,Low
EVT00409,Corporate Meetup,161,0.35,460,Low
EVT04957,Birthday Party,817,1.37,597,Critical
EVT01357,Trade Fair,5818,0.98,5937,Medium
EVT01059,Wedding,92,0.35,263,Low
EVT02966,Religious Gathering,58351,1.28,45587,High
EVT00355,Religious Gathering,62025,0.48,129219,Low
EVT04704,Festival,229209,1.7,134829,Very Critical
EVT03469,Birthday Party,149,1.04,144,High
EVT04711,Festival,49162,1.57,31314,Critical
EVT00517,Wedding,146,0.36,408,Low
EVT01469,Sports Match,21678,0.92,23564,Medium
EVT03516,Sports Match,16876,1.06,15921,High
EVT01963,Exhibition,11639,0.99,11757,Medium
EVT03945,Religious Gathering,29817,1.49,20012,Critical
EVT01824,Sports Match,34862,0.95,36697,Medium
EVT02548,Corporate Meetup,702,1.11,633,High
EVT00832,Exhibition,3184,0.46,6922,Low
EVT02891,Corporate Meetup,829,1.17,709,High
EVT04403,Festival,164579,1.61,102223,Very Critical
EVT01313,Festival,78403,0.9,87115,Medium
EVT01455,Sports Match,17653,0.88,20061,Medium
EVT02883,Wedding,446,1.09,410,High
EVT02980,Exhibition,12618,1.2,10515,High
EVT02941,Festival,115792,1.25,92634,High
EVT03616,Corporate Meetup,518,1.03,503,High
EVT01185,Corporate Meetup,108,0.37,292,Low
EVT02850,Trade Fair,5774,1.03,5606,High
EVT02092,Marathon,66935,0.98,68302,Medium
EVT03232,Exhibition,17691,1.2,14743,High
EVT03304,Exhibition,18339,1.26,14555,High
EVT04330,Conference,1990,1.48,1345,Critical
EVT01065,Concert,33215,0.65,51101,Low
EVT00356,Birthday Party,342,0.49,698,Low
EVT02690,Concert,38879,1.12,34714,High
EVT00669,Conference,358,0.8,448,Low
EVT04386,Religious Gathering,47786,1.37,34881,Critical
EVT00165,Wedding,330,0.44,752,Low
EVT02408,Birthday Party,705,0.97,727,Medium
EVT00623,College Fest,6528,0.55,11870,Low
EVT00523,Marathon,37234,0.63,59103,Low
EVT02293,Conference,345,0.91,380,Medium
EVT01457,Marathon,45761,0.93,49206,Medium
EVT03633,Trade Fair,14302,1.09,13122,High
EVT00218,Birthday Party,461,0.65,710,Low
EVT00492,Trade Fair,5281,0.44,12003,Low
EVT02344,Movie event,50341,0.99,50850,Medium
EVT03475,Wedding,794,1.15,691,High
EVT03716,Concert,14460,1.1,13146,High
EVT01201,Corporate Meetup,419,0.73,574,Low
EVT02759,Sports Match,61587,1.09,56502,High
EVT04541,College Fest,20573,1.41,14591,Critical
EVT01716,Festival,92289,0.92,100315,Medium
EVT04933,Cultural Event,19797,1.44,13748,Critical
EVT00689,Corporate Meetup,136,0.62,220,Low
EVT02746,College Fest,11851,1.26,9406,High
EVT04906,Marathon,73260,1.43,51231,Critical
EVT03507,Wedding,193,1.16,167,High
EVT00638,Religious Gathering,18603,0.31,60012,Low
EVT01579,Corporate Meetup,514,0.93,553,Medium
EVT04032,Product Launch,486,1.39,350,Critical
EVT03150,Exhibition,8242,1.11,7426,High
EVT00089,Wedding,415,0.6,692,Low
EVT01258,Religious Gathering,17843,0.81,22029,Medium
EVT04478,Conference,3281,1.38,2378,Critical
EVT03271,Exhibition,15167,1.07,14175,High
EVT01938,Concert,38587,0.9,42875,Medium
EVT04394,Festival,52055,1.45,35900,Critical
EVT04751,Concert,13755,1.63,8439,Very Critical
EVT04791,Birthday Party,1003,1.77,567,Very Critical
EVT01152,Trade Fair,10423,0.71,14681,Low
EVT01797,Product Launch,2227,0.93,2395,Medium
EVT03544,Religious Gathering,153298,1.24,123628,High
EVT01187,Product Launch,1029,0.64,1609,Low
EVT04195,Cultural Event,6081,1.65,3686,Very Critical
EVT04142,Corporate Meetup,732,1.77,414,Very Critical
EVT00998,Political Rally,37983,0.33,115100,Low
EVT02977,Corporate Meetup,192,1.18,163,High
EVT03063,Corporate Meetup,877,1.25,702,High
EVT02353,Wedding,486,0.88,553,Medium
EVT04232,Conference,2487,1.54,1615,Critical
EVT04230,Festival,183214,1.75,104694,Very Critical
EVT00144,Conference,1636,0.58,2821,Low
EVT04212,Concert,39659,1.52,26092,Critical
EVT02881,Marathon,145684,1.1,132440,High
EVT02865,Political Rally,51586,1.12,46059,High
EVT01251,Religious Gathering,117201,0.84,139526,Medium
EVT04988,Political Rally,102111,1.35,75638,Critical
EVT00041,Corporate Meetup,207,0.38,545,Low
EVT01390,Exhibition,3895,0.84,4637,Medium
EVT01765,Birthday Party,662,0.92,720,Medium
EVT03509,Product Launch,2133,1.12,1905,High
EVT01387,Product Launch,2275,0.91,2500,Medium
EVT01428,Festival,34835,0.94,37059,Medium
EVT01054,Cultural Event,5803,0.76,7636,Low
EVT00992,Movie event,22874,0.76,30098,Low
EVT01013,Marathon,57052,0.53,107646,Low
EVT01639,Trade Fair,9708,0.87,11159,Medium
EVT00378,Wedding,300,0.69,436,Low
EVT03080,Sports Match,57065,1.08,52838,High
EVT03025,Conference,2450,1.25,1960,High
EVT04093,Religious Gathering,53133,1.5,35422,Critical
EVT01315,Corporate Meetup,640,0.97,660,Medium
EVT02026,Trade Fair,1859,0.82,2268,Medium
EVT04124,Product Launch,993,1.69,588,Very Critical
EVT01262,Festival,48088,0.83,57938,Medium
EVT01473,Festival,103114,0.88,117176,Medium
EVT00653,Exhibition,2162,0.32,6758,Low
EVT03916,Birthday Party,1197,1.64,730,Very Critical
EVT04450,Corporate Meetup,621,1.42,438,Critical
EVT04585,Festival,83265,1.63,51083,Very Critical
EVT02299,Cultural Event,3420,0.94,3639,Medium
EVT03064,Cultural Event,4135,1.16,3565,High
EVT00619,Birthday Party,472,0.64,738,Low
EVT03995,Wedding,594,1.66,358,Very Critical
EVT02857,Exhibition,7886,1.06,7440,High
EVT04885,Sports Match,92539,1.63,56773,Very Critical
EVT00660,Religious Gathering,55621,0.47,118344,Low
EVT00982,Birthday Party,132,0.49,270,Low
EVT03905,Trade Fair,10095,1.36,7423,Critical
EVT02780,Marathon,142360,1.23,115740,High
EVT03982,Birthday Party,299,1.56,192,Critical
EVT01550,Festival,119680,0.87,137564,Medium
EVT03822,Cultural Event,9302,1.36,6840,Critical
EVT02884,Trade Fair,13281,1.07,12413,High
EVT00849,Sports Match,8273,0.68,12167,Low
EVT00921,Birthday Party,252,0.53,477,Low
EVT01707,Political Rally,98594,0.86,114645,Medium
EVT04944,Movie event,93185,1.7,54815,Very Critical
EVT04893,Wedding,1004,1.7,591,Very Critical
EVT01811,College Fest,2380,0.85,2801,Medium
EVT04233,Trade Fair,11662,1.47,7934,Critical
EVT01035,Wedding,93,0.4,233,Low
EVT00483,Conference,553,0.47,1177,Low
EVT01349,Festival,125569,0.85,147729,Medium
EVT00189,Cultural Event,1552,0.67,2317,Low
EVT01358,Wedding,131,0.94,140,Medium
EVT02990,Product Launch,696,1.29,540,High
EVT04973,Product Launch,2033,1.43,1422,Critical
EVT02602,Festival,136087,1.18,115328,High
EVT02720,College Fest,14564,1.18,12343,High
EVT04164,Festival,191641,1.34,143016,Critical
EVT04512,Concert,14016,1.76,7964,Very Critical
EVT03272,Political Rally,75471,1.12,67385,High
EVT03908,Wedding,733,1.62,453,Very Critical
EVT01755,College Fest,3707,0.87,4262,Medium
EVT02168,Marathon,94068,0.88,106896,Medium
EVT01288,Religious Gathering,103025,0.89,115759,Medium
EVT02676,Concert,54351,1.24,43832,High
EVT02446,Marathon,31968,0.95,33651,Medium
EVT01030,Political Rally,37985,0.43,88339,Low
EVT04283,Corporate Meetup,601,1.8,334,Very Critical
EVT00209,Conference,1900,0.78,2437,Low
EVT01531,Birthday Party,430,0.85,507,Medium
EVT04871,Cultural Event,9540,1.66,5747,Very Critical
EVT00154,Sports Match,17771,0.51,34846,Low
EVT04680,Trade Fair,12983,1.38,9408,Critical
EVT04043,Trade Fair,12136,1.33,9125,Critical
EVT03873,Sports Match,17776,1.58,11251,Critical
EVT03268,Birthday Party,794,1.16,685,High
EVT01841,Festival,97602,0.99,98588,Medium
EVT03552,Religious Gathering,27535,1.15,23944,High
EVT03737,Marathon,34458,1.2,28715,High
EVT04437,Festival,64080,1.71,37474,Very Critical
EVT00173,Marathon,84074,0.75,112099,Low
EVT03585,Cultural Event,4530,1.07,4234,High
EVT01937,Wedding,258,0.89,290,Medium
EVT03300,Marathon,26021,1.27,20489,High
EVT04351,Exhibition,24463,1.77,13821,Very Critical
EVT00844,Exhibition,6996,0.51,13718,Low
EVT03571,Trade Fair,11466,1.29,8889,High
EVT00678,Corporate Meetup,435,0.64,681,Low
EVT00088,Product Launch,609,0.77,791,Low
EVT01217,College Fest,6845,0.49,13971,Low
